Z,N
93.3019118148,20
74.2544478844,20
78.2797975278,20
73.2256214864,20
89.2948927691,20
87.2891560983,20
87.2890966042,20
87.2890450473,20
92.2369500888,20
93.3253392039,20
84.2843237919,20
87.2843237919,20
84.2843234821,20
78.2545194481,20
78.2795827504,20
90.2796186597,20
84.2841586853,20
85.2801423102,20
93.2891540339,20
93.3157088982,20
78.2742675918,20
81.2891560983,20
78.2783342018,20
84.3086004665,20
90.3041399204,20
90.2891560983,20
83.2536279515,20
82.263447366,20
91.29933854,20
83.2590696879,20
81.2393341426,20
91.2745286242,20
86.2891560983,20
92.312253836,20
81.2540448396,20
82.2539535283,20
82.2688830039,20
90.31439523,20
83.2544478844,20
85.2539535283,20
81.258528288,20
86.3040681723,20
91.2384434168,20
90.3024806978,20
92.3217447276,20
82.30207681,20
91.2928072267,20
89.2541080521,20
82.2888646672,20
89.2744649655,20
82.2811943367,20
83.2889720137,20
89.284189564,20
82.2887685814,20
85.2640375387,20
83.2891416354,20
89.2738002424,20
86.2540759305,20
81.2845706261,20
91.2640375387,20
83.264041688,20
92.3071939736,20
89.2540759305,20
81.2811943367,20
91.2992510186,20
89.2691857018,20
83.2843238878,19
88.2503828725,19
88.284189564,18
93.3025022155,17
93.3019851422,17
85.3169648784,17
92.2843491773,17
93.29933854,16
90.2229476701,16
93.3240364589,16
92.2689674684,16
92.2542849054,15
93.2695040584,15
93.3099662206,15
87.2993204628,14
86.2843491773,13
90.2798936887,12
91.2542849054,11
89.2891540339,11
87.2503828725,11
85.2843237919,10
89.2492851124,10
90.2836586774,10
90.2693770072,10
76.2688762935,10
88.269385368,10
70.2409196108,10
89.3099922433,10
71.2542858283,10
88.2901855078,10
83.2891953775,10
83.2891560983,10
82.264041688,10
83.2891913079,10
73.2800204316,10
91.2889636102,10
87.2547796659,10
88.2797975278,10
82.2783342018,10
84.2547796659,10
83.2694064565,10
91.2694943237,10
87.2640375387,10
87.2596406664,10
91.2742296621,10
93.3042688459,10
87.2536279515,10
86.3156791198,10
90.2891128085,10
77.2859390387,10
84.2540969623,10
88.2694064565,10
87.2542735815,10
93.2540759305,10
75.2409196108,10
88.2890819675,10
90.3007210178,10
89.3115453205,10
90.3021907003,10
87.2688725655,10
83.2992034744,10
91.2834945809,10
88.263447366,10
85.3156791198,10
90.2816085261,10
88.3041399204,10
73.2539531395,10
83.2844625423,10
88.2972252966,10
73.2541215107,10
85.304247279,10
93.2869066995,10
83.2845706261,10
91.2842820495,10
88.3019358202,10
90.3087656641,10
83.2843237694,10
72.2688762935,10
83.2940022396,10
74.2543035664,10
93.2987268328,10
85.3019118148,10
75.2541215107,10
93.2946714089,10
85.2978884038,10
82.2547951359,10
90.2694943237,10
75.269142607,10
91.2856246256,10
84.2393341426,10
82.2541080521,10
90.2890181277,10
89.2369500888,10
71.223964382,10
82.2540759305,10
74.2541215107,10
93.2782371658,10
85.269385368,10
81.2891523634,10
89.3043019321,10
87.2927260014,10
86.2640375387,10
87.3000099388,10
91.3099922433,10
91.3127170065,10
91.3037582528,10
91.3129689535,10
91.3169460346,10
80.2843233715,10
80.2843237694,10
83.2540655693,10
80.2845706261,10
83.2540759305,10
84.2891953775,10
80.2888139107,10
81.263447366,10
80.2891560983,10
89.2890450473,10
85.2540655693,10
84.2890450473,10
79.2532831126,10
79.2540448396,10
87.2927424421,10
79.2543035664,10
92.2836586774,10
80.2696517685,10
80.2694064565,10
84.3156791198,10
90.2856246256,10
81.2888139107,10
92.2995218936,10
92.2994263437,10
92.303952699,10
89.2699594062,10
89.2851852859,10
92.2893316323,10
92.2891540339,10
86.2547796659,10
91.3043475187,10
83.2485790156,10
81.279691363,10
91.3097620791,10
81.2795779709,10
85.2590696879,10
89.2856246256,10
80.2547796659,10
86.2593814116,10
87.304247279,10
87.3040681723,10
92.3111457514,10
79.2544478844,10
84.2887685814,10
79.2546120282,10
87.2843238878,10
78.2540448396,10
93.3227522584,10
83.2547796659,10
90.2544164688,10
84.2811943367,10
91.2598500864,10
90.2547796659,10
86.2841586853,10
86.284189564,10
82.2856440382,10
91.2688830039,10
82.2845706261,10
93.3127170065,10
84.269385368,10
87.2694988989,10
84.2693770072,10
87.2694064565,10
84.2691857018,10
82.2843237694,10
85.2693194114,10
85.2693770072,10
91.2547796659,10
91.2589387008,10
83.2589102123,10
87.2843421509,10
81.2539535283,10
79.263802531,10
79.2693595892,10
83.2547951359,10
92.2544164688,10
92.2542838928,10
79.2838930555,10
87.2891128085,10
87.2888646672,10
86.2843234821,10
90.2503828725,10
79.2941107594,10
92.2387833022,10
87.2545194481,9
82.2841008034,9
93.3006383188,9
82.2693595892,9
91.2798936887,8
88.258715566,8
93.3173394263,8
83.2783342018,8
90.2969996966,8
93.2393959336,7
83.3019118454,6
90.2542849054,5
91.2741009593,5
86.2696517685,5
91.2844071902,5
93.2589387008,4
89.3099662206,4
82.3019118454,4
92.2693770072,4
85.2843491773,3
